2025-10-28 22:44:46 | INFO     | MemoryMonitor | {"stage": "Context_MultiScale_end", "timestamp": "2025-10-28T22:44:46.802130", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.71184539794922, "cpu_used_gb": 8.720893859863281, "cpu_percent": 14.2, "process_rss_gb": 2.2412109375, "process_vms_gb": 31.451393127441406, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125, "status": "success", "training_time": 2367.5532653331757, "memory_delta_gb": -0.04962921142578125}
2025-10-28 22:44:51 | INFO     | MemoryMonitor | {"stage": "Stochastic_Learner_start", "timestamp": "2025-10-28T22:44:51.804159", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.694923400878906, "cpu_used_gb": 8.737815856933594, "cpu_percent": 14.2, "process_rss_gb": 2.2412109375, "process_vms_gb": 31.451393127441406, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125}
2025-10-28 23:24:18 | INFO     | MemoryMonitor | {"stage": "Stochastic_Learner_end", "timestamp": "2025-10-28T23:24:18.321950", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.72113037109375, "cpu_used_gb": 8.71160888671875, "cpu_percent": 14.2, "process_rss_gb": 2.196063995361328, "process_vms_gb": 31.400611877441406, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125, "status": "success", "training_time": 2366.5130591392517, "memory_delta_gb": -0.026195526123046875}
2025-10-28 23:24:23 | INFO     | MemoryMonitor | {"stage": "Stochastic_Control_start", "timestamp": "2025-10-28T23:24:23.347739", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.693119049072266, "cpu_used_gb": 8.739620208740234, "cpu_percent": 14.2, "process_rss_gb": 2.196063995361328, "process_vms_gb": 31.400611877441406, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125}
2025-10-29 00:03:54 | INFO     | MemoryMonitor | {"stage": "Stochastic_Control_end", "timestamp": "2025-10-29T00:03:54.211684", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.71871566772461, "cpu_used_gb": 8.71402359008789, "cpu_percent": 14.2, "process_rss_gb": 2.196380615234375, "process_vms_gb": 31.40087890625, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125, "status": "success", "training_time": 2370.85905957222, "memory_delta_gb": -0.02559661865234375}
2025-10-29 00:03:59 | INFO     | MemoryMonitor | {"stage": "Stochastic_Both_start", "timestamp": "2025-10-29T00:03:59.233537", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.69528579711914, "cpu_used_gb": 8.73745346069336, "cpu_percent": 14.2, "process_rss_gb": 2.196380615234375, "process_vms_gb": 31.40087890625, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125}
2025-10-29 00:43:30 | INFO     | MemoryMonitor | {"stage": "Stochastic_Both_end", "timestamp": "2025-10-29T00:43:30.858897", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.72770690917969, "cpu_used_gb": 8.705032348632812, "cpu_percent": 14.2, "process_rss_gb": 2.196380615234375, "process_vms_gb": 31.40087890625, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125, "status": "success", "training_time": 2371.6190869808197, "memory_delta_gb": -0.0330352783203125}
2025-10-29 00:43:35 | INFO     | MemoryMonitor | {"stage": "Graph_Standard_start", "timestamp": "2025-10-29T00:43:35.860649", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.70206832885742, "cpu_used_gb": 8.730670928955078, "cpu_percent": 14.2, "process_rss_gb": 2.196380615234375, "process_vms_gb": 31.40087890625, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125}
2025-10-29 02:23:13 | INFO     | MemoryMonitor | {"stage": "Graph_Standard_end", "timestamp": "2025-10-29T02:23:13.492539", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.57851028442383, "cpu_used_gb": 8.854228973388672, "cpu_percent": 14.4, "process_rss_gb": 2.26812744140625, "process_vms_gb": 31.484481811523438, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125, "status": "success", "training_time": 5977.627162694931, "memory_delta_gb": 0.12493133544921875}
2025-10-29 02:23:18 | INFO     | MemoryMonitor | {"stage": "Graph_Gated_start", "timestamp": "2025-10-29T02:23:18.496424", "cpu_total_gb": 61.4327392578125, "cpu_available_gb": 52.557071685791016, "cpu_used_gb": 8.875667572021484, "cpu_percent": 14.4, "process_rss_gb": 2.26812744140625, "process_vms_gb": 31.484481811523438, "gpu_0_allocated_gb": 0.06396484375, "gpu_0_reserved_gb": 16.689453125, "gpu_0_max_allocated_gb": 13.637046813964844, "gpu_0_max_reserved_gb": 16.689453125}
